buyercompany,cer,projectnumber,sector,industry,buyerstat,psize,locationregion,location,treat,buyercountry,investmentmus,subregion,yrs,stperiodktco2eyr,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,Africa_x,Asia & Pacific_x,Europe & Central Asia_x,Latin America_x,Middle-East_x,Asia & PacificP,Latin AmericaP,AfricaP,Middle-EastP,Europe & Central AsiaP,Africa_y,Asia & Pacific_y,Europe & Central Asia_y,Latin America_y,Middle-East_y,Africa,Asia & Pacific,Europe & Central Asia,Latin America,Middle-East
DS Energy,11.380000099999998,9,Financials (Special),Specialty Finance,privatelocal,0.2222222222222222,Asia & Pacific,China,0.0,United K. ,36.91111073333333,East Asia,7.0,85.366668,676.4444444444445,1530.5555555555557,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Daewoo International,10.3,2,Financials,Asset Management,privateglobal,0.0,Asia & Pacific,China,0.0,Germany ,62.1000005,East Asia,7.0,219.950005,2161.0,4362.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Daichu Corporation,14.21,1,Consumer Discretionary,Distributor/Wholesaler,privatelocal,0.0,Asia & Pacific,China,0.0,Japan ,56.700001,East Asia,7.0,134.10001,1342.0,2684.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Daiwa securities SMBC,11.84,1,Financials,Asset Management,privateglobal,1.0,Asia & Pacific,China,0.0,Japan ,7.900000099999999,East Asia,10.0,37.200001,330.0,372.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Danish Ministry of Climate & Energy,10.60350004,20,Government,Government Agencies,Government,0.45,Asia & Pacific,Thailand,0.1,Denmark ,19.724749928999998,Southern Asia,8.2,63.14500005499999,612.1,1098.2,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Deutsche Bank,12.043913060869567,23,Financials,Banking,privateglobal,0.0,Latin America,Nicaragua,0.0,United K. ,113.2652174347826,East Asia,7.0,282.8260863478261,2561.782608695652,5371.695652173913,0.0,22.0,0.0,1.0,0.0,0.9565217391304348,0.043478260869565216,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0
Dexia Carbon Capital,11.545,2,Financials,financial institutions,privatelocal,0.5,Asia & Pacific,China,0.0,United K. ,21.599999,East Asia,7.0,51.149998499999995,501.5,1013.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Doxen Energy,11.15600006,5,Financials,financial institutions,privatelocal,0.2,Asia & Pacific,China,0.0,Switzerland ,27.279999399999998,East Asia,7.0,86.359999,705.4,1569.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
E.ON Climate & Renewables GmbH,10.3,2,Energy,Renewable Energy,privatelocal,0.0,Asia & Pacific,China,0.0,Netherlands ,7.29999995,East Asia,8.5,178.25,1752.5,2737.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
EDF Trading,12.333793109195422,87,Utilities,Utilities,privateglobal,0.16091954022988506,Middle-East,Vietnam,0.034482758620689655,United K. ,52.78563209310344,Southeast Asia,7.126436781609195,87.31034474712645,764.7701149425287,1599.183908045977,0.0,82.0,0.0,0.0,5.0,0.9425287356321839,0.0,0.0,0.05747126436781609,0.0,0.0,82.0,0.0,0.0,5.0,0.0,82.0,0.0,0.0,5.0
EDP - Energias de Portugal S.A. ,7.0,2,Financials,Banking,privateglobal,1.0,Asia & Pacific,Nepal,1.0,Netherlands ,25.299999,Southern Asia,7.0,46.950001,561.0,692.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENEL,9.844375178124999,32,Utilities,Utilities,privateglobal,0.3125,Asia & Pacific,China,0.0,Netherlands ,54.196875487187505,East Asia,7.28125,221.77812417500002,2351.375,3570.1875,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
ESBI,14.21,1,Business consulting and others,Environmental Services,privatelocal,1.0,Asia & Pacific,Malaysia,0.0,Ireland ,20.200001,Southeast Asia,10.0,47.099998,377.0,471.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Eco Asset,10.109091022727272,22,Industrials,Waste & Environ Svcs & Equip,privatelocal,0.5,Asia & Pacific,China,0.045454545454545456,Japan ,42.330908763636366,East Asia,7.2727272727272725,144.53182018181818,1351.409090909091,2769.7272727272725,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
